pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,"Splash Proof Blade Fuse Holder, option = 25 – 6.0 mm cable",2,,£2.95,,,,,,https://www.vehiclewiringproducts.co.uk/c-52-fuse-boxes-fuses/c-122-blade-fuse-holders/p-659-splash-proof-blade-fuse-holder,
,Mounting Plate For Fuse Holder,2,,£0.70,,,,,,https://www.vehiclewiringproducts.co.uk/p-660-mounting-plate-for-fuse-holder,
,"LED Fuse Box, option = 10 way",1,,£27.41,,,,,,https://www.vehiclewiringproducts.co.uk/p-358-led-fuse-box,
,10 way ATO /ATC FUSE BOX with individual L.E.D. blown fuse indicator ALT/FBB10L-1-06,1,,£14.03,,,,,,https://www.altecautomotive.co.uk/10-way-ato-atc-fuse-box-with-individual-led-blown-fuse-indicator----altfbb10l-1-06-17986-p.asp,
,Convoluted tubing,0,,,,,,,,https://www.vehiclewiringproducts.co.uk/p-517-convoluted-tubing,
,"Standard Blade Fuse, option = 3 Amp",5,,£0.18,,,,,,https://www.vehiclewiringproducts.co.uk/p-671-standard-blade-fuse,
,"Standard Blade Fuse, option = 5 Amp",5,,£0.18,,,,,,https://www.vehiclewiringproducts.co.uk/p-671-standard-blade-fuse,
,"Standard Blade Fuse, option = 10 Amp",5,,£0.18,,,,,,https://www.vehiclewiringproducts.co.uk/p-671-standard-blade-fuse,
,"Standard Blade Fuse, option = 20 Amp",5,,£0.18,,,,,,https://www.vehiclewiringproducts.co.uk/p-671-standard-blade-fuse,
,"Standard Blade Fuse, option = 40 Amp",5,,£0.18,,,,,,https://www.vehiclewiringproducts.co.uk/p-671-standard-blade-fuse,
,"Cable, 35 amp, 4.5mm sq. 65/0.30, OD 5.1mm",,,£2.14,,,,,,https://www.vehiclewiringproducts.co.uk/c-48-cables/c-200-single-core-standard-pvc-cable/p-982-35-amp-4-5mm-sq-65-0-30,
,,,,,,,,,,,
,"RS PRO Black Nylon Cable Gland, M12 Thread, 3mm Min, 6.5mm Max, IP68, 669-4654",,,£1.05,,,,,Rsonline,https://uk.rs-online.com/web/p/cable-glands/6694654,
,,,,,,,,,,,
,"RS PRO Fan Filter for 40mm Fans, PUR Filter, ABS Frame, 40 x 40mm",2,£1.786,,,,,,Rsonline,https://uk.rs-online.com/web/p/fan-filters/7374074,
,"RS PRO Pozi Countersunk Steel Machine Screws DIN 965, M4x25mm",,£0.05,,,,,,Rsonline,https://uk.rs-online.com/web/p/machine-screws/0553453,
,"RS PRO, Bright Zinc Plated Steel Lock Nut, DIN 985, M4",,,,,,,,Rsonline,https://uk.rs-online.com/web/p/hex-nuts/0524304,
,"SIB SIB-TEC Series Grey PA 6 Cable Gland, M12 Thread, 2.5mm Min, 6.5mm Max, IP68",25,£1.25,,,,,,Rsonline,https://uk.rs-online.com/web/p/cable-glands/0564822,
,,,,,,,,,,,
,"FIBET Anti Vibration Mount, Universal, 22mm , 10mm",2,£6.16,,,,,,Rsonline,https://uk.rs-online.com/web/p/anti-vibration-mounts/7203451,
,"TE Connectivity, SOLISTRAND Uninsulated Ring Terminal, M8 (5/16) Stud Size, 16.8mm² to 26.7mm² Wire Size",,£1.27,,,,,,Rsonline,https://uk.rs-online.com/web/p/ring-terminals/7952144,
,,,,,,,,,,,
,,,,,,,,,,,
,GLA-Q40 12V 750N Compact High-Force Linear Actuator with Encoder (throttA),1,£83.90,,,,,,Gimson Robotics,https://gimsonrobotics.co.uk/products/gla-q40-12v-750n-compact-high-force-linear-actuator-with-encoder?variant=47076801315092,
,"Small Steel Actuator Mounting Bracket, 6mm",1,£7.00,,,,,,Gimson Robotics,https://gimsonrobotics.co.uk/products/small-steel-actuator-mounting-bracket-6mm?variant=45232803381524,
,"6-Pin Male to Female Extension Cable 1.35m, for Actuators with Encoders",1,£4.90,,,,,,Gimson Robotics,https://gimsonrobotics.co.uk/products/6-pin-male-to-female-extension-cable-1-35m-for-actuators-with-encoders?variant=46249431957780,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
," PELR0160 - Circular Threaded Inline Connector Plug, 7-Pole, 7-12mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21353 ",,£4.80,,,,,,CPC,,
," PELR0167 - Circular Threaded Inline Connector Socket, 7-Pole, 7-12mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21360 ",,£4.80,,,,,,CPC,,
," PELR0174 - Circular Threaded Connector Inline Plug, 7-Pole, 7-12mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21367 ",,£3.10,,,,,,CPC,,
," PELR0181 - Circular Threaded Connector Inline Socket, 7-Pole, 7-12mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21374 ",,£3.10,,,,,,CPC,,
,,,,,,,,,,,
," PELR0125 - Circular Threaded Connector Socket, 6-Pole, 5-8mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21318 ",,£3.60,,,,,,CPC,,
," PELR0132 - Circular Threaded Connector Inline Plug, 6-Pole, 5-8mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21325 ",,£3.60,,,,,,CPC,,
," PELR0139 - Circular Threaded Connector Inline Socket, 6-Pole, 5-8mm, IP68   Manufacturer: PRO ELEC  Order Code: CN21332 ",,£5.16,,,,,,CPC,,
," PELR0118 - Circular Threaded Connector Plug, 6-Pole, 5-8mm, IP68  Manufacturer: PRO ELEC  Order Code: CN21311 ",,£5.16,,,,,,CPC,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,100 x White Cable Ties 100mm x 2.5mm,,,£1.99,,,,,EBAY,,
,,,,,,,,,,,
,,,,,,,,,,,
,"RS PRO Blue Insulated Female Spade Connector, Receptacle, 0.8 x 6.35mm Tab Size, 1.5mm² to 2.5mm² RS Stock No. 178-8314 ",100,£6.78,,,,,,Rsonline,,
,"RS PRO Blue Insulated Male Spade Connector, Tab, 0.8 x 6.35mm Tab Size, 1.5mm² to 2.5mm² RS Stock No. 178-8383 ",100,£5.17,,,,,,Rsonline,,
,"TE Connectivity, PLASTI-GRIP Insulated Ring Terminal, M5 Stud Size, 2.6mm² to 6.6mm² Wire Size, Yellow RS Stock No. 745-4735 ",25,£6.45,,,,,,Rsonline,,
," RS PRO Yellow Insulated Female Spade Connector, Receptacle, 0.8 x 6.35mm Tab Size, 4mm² to 6mm² RS Stock No. 178-8315 ",100,£7.96,,,,,,Rsonline,,
,"RS PRO Yellow Insulated Male Spade Connector, Tab, 0.8 x 6.35mm Tab Size, 4mm² to 6mm² RS Stock No. 178-8384 ",100,£6.22,,,,,,Rsonline,,
,"Molex, InsulKrimp Insulated Crimp Ring Terminal, 1/4 (M6) Stud Size, Yellow RS Stock No. 213-5406 ",20,£6.08,,,,,,Rsonline,,
,,,,,,,,,,,
,,,,,,,,,,,
,150Pc Heat Shrink Tubing Tube Sleeve Kit Car Electrical Assorted Cable Wire Wrap,,£4.99,,,,,,EBAY,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Metric Thread Nylon Locknut, 12mm / Grey",,£0.12,,,,,,cableglandsuk.com,https://www.cableglandsuk.com/products/metric-thread-nylon-locknut?variant=46462619975904,"Delivery £7.50, FREE over £75"
,"SIB TEC Polyamide Compression Gland (Metric) SIB/M12 / Grey (RAL 7035), SIB SIB-TEC Series Grey PA 6 Cable Gland, M12 Thread, 2.5mm Min, 6.5mm Max, IP68 ",,£0.30,,,,,,cableglandsuk.com,https://www.cableglandsuk.com/products/sib-tec-polyamide-compression-gland-metric?variant=43048401141984,
,,,,,,,,,,,
,"LM2937ES-3.3/NOPB, Fixed LDO Voltage Regulator, 4.75V to 26V, 500mV Dropout, 3.3Vout, 500mAout, TO-263-3, 3.3V D2PAK",,£3.98,,,,,,Farnell,,
,"IC REG LINEAR 5V 1.5A D2PAK, L7805ACD2T-TR",,,,,,,,CPC,£3.32 shipping,
,"236-404   CN14687  Data Sheet +RoHS  Terminal Block, PCB, 4 Way",,,,,,,,CPC,,
,"PP01768 - Butt Splice Terminals Yellow 48A, 100 Pack   Manufacturer: PRO POWER  Order Code: CN11408 ",,,,,,,,CPC,,
, ABBS - 27A Blue Butt Splice Wire Connector - Pack of 100   Pack Size: 100  Manufacturer: UNBRANDED  Order Code: CB19592 ,,,,,,,,CPC,,
,"Electronics Grade Silicone Adhesive Sealant, 20g - EGS10C-20G, Add to compare  Manufacturer: CHIP QUIK ,Manufacturer Part No: EGS10C-20G, Order Code: SA03781 ",,£3.88,,,,,,CPC,,
,"Ignite Thick Nitrile Examination Gloves, Orange XXL - 100 Pack - Manufacturer: AURELIA Manufacturer Part No: IGNITE XXL Order Code: HE36016 Also Known As: GTIN UPC EAN: 9555002110239",,£7.97,,,,,,CPC,,
,,,,,,,,,,,
,"PCB terminal block; lever; 16 mm²; Pin spacing 10 mm; 4-pole; CAGE CLAMP®; 16,00 mm²; gray | Item number: 2716-104 WAGO 55A",,£7.94,,,,,,Digikey,,
,WAGO 2716-102 2 Pole 10mm 76A 30° Lever PCB Terminal Block Grey,,£1.57,,,,,,Rapid,£5 delivery,
,,,,,,,,,,,
,PB Fastener S57040X50 Zinc Plated Steel F/F Spacers M4 x 50mm Pack Of 10  Code: 49-0948,,£5.18,,,,,,Rapid,£5 delivery,
,PB Fastener S47040X40 Zinc Plated Steel M/F Spacers M4 x 40mm Pack Of 10  Code: 49-0954,,£5.23,,,,,,Rapid,,
,PB Fastener S57040X45 Zinc Plated Steel F/F Spacers M4 x 45mm Pack Of 10  Code: 49-0947,,£6.18,,,,,,Rapid,,
,PB Fastener S47040X50 Zinc Plated Steel M/F Spacers M4 x 50mm Pack Of 10  Code: 49-0956,,£8.22,,,,,,Rapid,,
,,,,,,,,,,,
," M2 M2.5 M3 M4 Button Head Allen Bolt Screws Nyloc Nuts Washers Stainless Steel£5.62Unit price £5.62 Item number: 225336502983  , 10 Screws, 10 Nuts, 10 Washers ⋅ 25mm ⋅ M3, Boltbase",,,£5.62,,,,,EBAY,,
,,,,,,,,,,,
,WAGO 2716-102 2 Pole 10mm 76A 30° Lever PCB Terminal Block Grey,,£1.57,,,,,,Rapid,£5 delivery,
,"PB Fastener S45530X30 Zinc Plated Steel M/F Spacers M3 x 30mm Pack Of 10   Order Code: 49-0936, MPN: S45530X30",,£2.42,,,,,,Rapid,,
,"R-TECH 337069 Pozi Countersunk Machine Screws BZP M3 12mm - Pack Of 100, Order Code:  33-7069, Brand: R-TECH MPN: 337069 ",,£1.56,,,,,,Rapid,,
,"R-TECH 337039 Pozi Pan Head Machine Screws BZP M3 25mm - Pack Of 100, 33-7039,Brand: R-TECH MPN: 337039",,£2.25,,,,,,Rapid,,
,"Rapid GW010600 Extra Flexible Wire Red 25m, 6A, Order Code: 01-0600, Brand: Rapid MPN: GW010600, Red, Black, White, Blue, White and Green available. OD 2.8mm.",,£8.19,,,,,,Rapid,,
,,,,,,,,,,,
,Brother PT E110VP PTE110VP labelling machine,,,£48.59,,,,,tool station,,
,Brother TZE-FX221 P-Touch Black on White Flexible ID Laminated Tape 9mm x 8m,,,£10.29 ,,,,,cartridgepeople.com,,
,,,,,,,,,,,
,Set screws CS M10 A2 STAINLESS STEEL COUNTERSUNK BOLT NYLOC LOCK NUT WASHER SOCKET x 10,,,£11.69,,,,,EBAY,,
,,,,,,,,,,,
,SOLID RUBBER SHEETING 10MM THICKNESS 200 x 200 ,,,£10.25,,,,,EBAY,,
,M5 SOCKET CAP SCREWS A2 STAINLESS STEEL HEX ALLEN KEY BOLTS DIN 912 x 50mm …. 4of,,,£3.20,,,,,EBAY,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Werma 200 Series Red Continuous lighting Beacon, 12 → 230 V, Base Mount, Filament Bulb, IP65, RS Stock No.2517994, Mfr. Part No. 200.100.00",,£20.17,,,,,,Rsonline,,
," Werma 200 Series Yellow Continuous lighting Beacon, 12 → 230 V, Base Mount, Filament Bulb, IP65, RS Stock No.2517996, Mfr. Part No.200.300.00",,£20.17,,,,,,Rsonline,,
,"Werma 200 Series Green Continuous lighting Beacon, 12 → 230 V, Base Mount, Filament Bulb, IP65, RS Stock No.2517995, Mfr. Part No.200.200.00",,£20.17,,,,,,Rsonline,,
," Werma 200 Series Clear Continuous lighting Beacon, 12 → 230 V, Base Mount, Filament Bulb, IP65, RS Stock No.2517997 Mfr. Part No.200.400.00",,£20.17,,,,,,Rsonline,,
,"Werma 200 Series Blue Continuous lighting Beacon, 12 → 230 V, Base Mount, Filament Bulb, IP65, RS Stock No.2517999Mfr. Part No.200.500.00",,£20.17,,,,,,Rsonline,,
,209 BULB 12 VOLT 5 WATT DOUBLE CONTACT BA15D BOXED - 10 BULBS,10,£5.99,,,,,,ebay,https://www.ebay.co.uk/itm/236677144171,
,,,,,,,,,,,
,"BTS441RGATMA1, IC PWR SWITCH N-CHAN 1:1 TO263-5, High side switch",,£3.78,,,,,,Digikey,,
,,,,,,,,,,,
,sourcing map 20 Pcs Female PCB Header 40 Way 2mm Pitch Connector Black Sold by: Ascot City ,,,£14.28,,,,,Amazon,,
,Boobrie SMA Cable RG316 SMA Male to SMA Female Right Angle Coaxial Cable WiFi Antenna Cable SMA 90 Degree Cable SMA Bulkhead Connector 5.9 Inches 15cm for Mobile Antennas/WiFi Antenna etc Pack of 2 ,2,,£8.99,,,,,Amazon,,
,,,,,,,,,,,
,,,,,,,,,,,
,M4 A4 Stainless Socket COUNTERSUNK Screws - Allen Key Bolts Hex Marine  length 10mm,10,,£3.97,,,,,EBAY,,
,M4 A4 Stainless Socket COUNTERSUNK Screws - Allen Key Bolts Hex Marine  length 8mm,10,,£3.97,,,,,EBAY,,
,,,,,,,,,,,
,Red Classic Car Dash Board Panel Warning Light Lamp 12v 17mm Hole,1,,£4.99,,,,,EBAY,,
,,,,,,,,,,,
,"Flowfit cetop 3, 4 station steel manifold with relief valve cavity  SKU: MD-03P-4-G-M26",1,£99.86,,,,,,Flowfit,,
,"Flowfit Cetop 3 NG6 3 Position Solenoid Valve, 12 V DC, 3C2 - Flowfit Powerpacks   SKU: TIA-02-3C2-D1  Voltage:12 DC",4,£65.89,,,,,,Flowfit,,
,"Flowfit Hydraulic Motor 19,9 cc/rev 16mm Parallel Keyed Shaft, Rear ports, Product SKU: FFPMM20C-S",4,£67.11,,,,,,Flowfit,,
,,,,,,,,,,,
,"Major Branded HRC70F Coupling Assembly Inner Facing Taper Bores Max Bush Bore 25mm / 1 inch with Natural Rubber Insert , OD69",1,£18.80 ,,,,,,Simply Bearings,,
,1008-16 Tapered Locking Bush with 16mm Bore,1,£4.47 ,,,,,,Simply Bearings,,
,1008-20 Tapered Locking Bush with 20mm Bore,1,£4.47 ,,,,,,Simply Bearings,,
,UCP204 Metric Cast Iron Two Bolt Pillow / Plummer Block Housing with 20mm Bore Insert ,2,£9.81 ,,,,,,Simply Bearings,,
,,,,,,,,,,,
,M4 Metal Hex-Standoff/Spacer Nickel Plated Brass 30mm Manufacturer ETTINGER Order Code PC02029 ,,,,,,,,CPC,,
,,,,,,,,,,,
,1/0.6mm Single Core Equipment /Hook up Wire 22AWG Different Colours and Lengths,1, £3.70,,,,EBAY,,,,
,,,,,,,,,,,
,FOUR PRONGED T NUTS CAPTIVE THREADED INSERTS FOR WOOD FURNITURE M4,4, £0.99,,,,EBAY,,,,
,,,,,,,,,,,
,T3695 - Self Adjusting Bootlace Ferrule Crimper  Manufacturer: CK TOOLS Order Code: TL23729 ,1,£81.61,,,,,,CPC,,
,,,,,,,,,,,
,M6 (6mmØ) SOCKET CAP SCREWS HEXAGON ALLEN KEY BOLTS DIN 912 A2 STAINLESS STEEL,20,,£4.09,,,EBAY,,EBAY,Kayes fasteners royal mail 24,
,,,,,,,,,,,
,SNR USPG205 Threaded Base Small Footprint Metric Pillow / Plummer Block Housing with 25mm Bore Insert,4,£21.95,,,,,,Simply Bearings,Wheel bearings for implement,
,,,,,,,,,,,
,"Grade E220, 28.6mm x 1.6mm (1.1/8"" x 16 swg) Mild Steel Tube",,,,,,,,,,
,"31.7mm x 3.2mm (1 1/4"" x 10swg) Mild Steel Tube Cold Drawn Seamless Tube, ID 25.3,  Mill Finish Grade CFS 3BK",,,,,,,,,,
,MILD STEEL SEAMLESS ROUND TUBE METAL PIPE CDS 9.5 to 50.8mm O/D 0.1 to 0.5 meter,,,,,,,,EBAY,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Flowfit Cetop 3 NG6 2 Position Solenoid Valve, 12V DC, 2B60B  SKU: F5-02-2B60B-D1, Spool Configuration: P to T, A&B Blocked >> P to A, B to T (2B60B Spool Type)",1,£52.48,,,,,,Flowfit,,
,,,,,,,,,,,
,"Flowfit Hydraulic Cetop 3 Station 3 Relief Valve M26X1.5 RV 1/2"" Ports  SKU: MD-03P-3-G-M26-1/2",2,£142.24,,,,,,Flowfit,,
,"Hydraulic 2 Way Flow Divider, V-EQ 8 1-3 L/min  SKU: V1001 Max Flow: 3 L/min Thread Size: P 3/8"" BSP , A-B 3/8"" BSP Type: V-EQ 8",0,£118.56,,,,,,Flowfit,,
,"Flowfit Hydraulic 3 port Adjustable flow control c/w Relief valve 1/2"" BSP ports Product SKU: ZZ005423",2,£44.92,,,,,,Flowfit,,
,,,,,,,,,,,
,CETOP 3 FOUR STATION MANIFOLD Part no. EM-213/4Y,1,£104.46,,,,,,Hydrastore,,
,,,,,,,,,,,
,"Hydraulic 3 Way Flow Control Valve, VPR3 3/8"" with Second Function SKU: V1060 Max Flow: 60 L/min Thread Size: 3/8"" BSP Type: VPR3 3/8",1,£148.20,,,,,,Flowfit,,
,,,,,,,,,,,
,1/4″ BSPP x 1/4″ BSPP Male/Female Swivel Compact Elbow,,,£5.88,,,,,Hosehop.net,,
,,,,,,,,,,,
,,,,,,,,,,,
,Banjo ¼” hose,,,,,,,,,,
,,,,,,,,,,,
,Sensata DHM5 – DHK5 – DH05 incremental io link encoder,,,,,,,,,,
,"YUMO encoder A6B2-CWZ5B 1000PPR Shaft Optical Incremental Rotary Encoder, 6mm shaft, PCD 30",1,$30.00,,,,,,Alibaba,https://www.alibaba.com/product-detail/YUMO-encoder-A6B2-CWZ5B-1000PPR-Shaft_1600729972392.html,
,"encoder E6B2-CWZ5B 1000PPR Shaft Optical Incremental Rotary Encoder, 6mm shaft, PCD 30",1,£20,,,,,,Aliexpress,https://www.aliexpress.com/item/1005006274147056.html?src=google&pdp_npi=4@dis!GBP!17.08!15.89!!!!!@!12000036563434603!ppc!!!&gQT=2#nav-specification,
,,,,,,,,,,,
,"12"" Long 5/8"" x 36 Spline Stub Shaft SKU: AC425020-12",1,£9.98,,,,,,Extreme Baja Karts,https://www.extremebajakarts.co.uk/12-inch-long-five-eighths-inch-36-spline-steel-stub-shaft.html,
,,,,,,,,,,,
,"CHEAP BRIGHT MILD STEEL EN3B ROUND SOLID METAL BAR ROD 3MM-50MM VARIOUS LENGTHS, Bar Diameter: 3/4"", Length: 300mm",,,£14.97,,,,,EBAY,,
,,,,,,,,,,,
,UCP204-12 Imperial Cast Iron Two Bolt Pillow / Plummer Block Housing with 3/4 inch Bore Insert ,2,£9.81 ,,,,,,Simply Bearings,,
,Imperial Slotted Stainless Steel DIN1481 Spring Roll Pins 1/4x1-3/4 inch,1,£3.37,,,,,,Simply Bearings,,
,,,,,,,,,,,
,,,,,,,,,,,
,AMC Single Core Thin Wall Cable - 10.0mm² 70AProduct code: P01303,1,,£3.13,,,,,12V planet,https://www.12voltplanet.co.uk/P01303.html,
,10mm2 70 A Amp Thinwall PVC Cable Black Red 1 - 100M M Lengths 70A Amps Battery,5,,£13.50,,,,,EBAY,,
,Copper Lug Terminal Battery Welding Cable Tube Connector Ring Crimp ALL SIZES!!!,2,,£4.69,,,,,EBAY,,
,Copper Tube Terminals Terminal Battery Welding Cable Lug Eyelet Crimp All Sizes,10,,£4.45,,,,,EBAY,,
,MIDI/STRIP LINK FUSE HOLDER CAR AUTO HEAVY DUTY 30/40/50/60/70/80/100/125/150AMP New60 Amp Fuse Only,2,,£5.98,,,,,EBAY,,
,,,,,,,,,,,
,"M5 x 150mm Socket Cap Screw High Tensile Grade 12.9 Self Colour , DIN 912 × 16 ",16,,£22.09 ,,,,,Boltworld,,
,"M5 x 160mm Socket Cap Screw High Tensile Grade 12.9 Self Colour , DIN 912 × 4 ",4,,£6.01,,,,,Boltworld,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
117721,BONDED SEAL MS NBR S/C G1/8 ,In Stock ,£0.24 ,£1.20,,,,,Duncan Rogers,,
117722,BONDED SEAL MS NBR S/C G1/4 ,In Stock ,£0.17 ,£4.08,,,,,Duncan Rogers,,
117723,BONDED SEAL MS NBR S/C G3/8 ,In Stock ,£0.20 ,£4.00,,,,,Duncan Rogers,,
117724,BONDED SEAL MS NBR S/C G1/2 ,In Stock ,£0.45 ,£2.70,,,,,Duncan Rogers,,
131921,CARRIER ISOA 1/4 ,In Stock ,£5.92 ,£47.36,,,,,Duncan Rogers,,
139333,O RING EPDM ID:9.0 OD:12.0 ,In Stock ,£0.11 ,£2.20,,,,,Duncan Rogers,,
113526,1/4 x 3/8 BSP M/M Adaptor ,In Stock ,£1.21 ,£14.52,,,,,Duncan Rogers,,
113525,BSP M/M 1/4 x 1/4 ,In Stock ,£1.34 ,£10.72,,,,,Duncan Rogers,,
140416,PROBE ISOA G1/4 ,In Stock ,£4.36 ,£34.88,,,,,Duncan Rogers,,
113535,G1/2M X G3/8M ,In Stock ,£1.90 ,£3.80,,,,,Duncan Rogers,,
113534,3/8 x 3/8 BSP M/M Adaptor ,In Stock ,£1.60 ,£6.40,,,,,Duncan Rogers,,
116186,1/8 B Coned Plug ,5 in stock ,£1.07 ,£5.35,,,,,Duncan Rogers,,
116187,1/4 B Coned Plug ,In Stock ,£1.15 ,£2.30,,,,,Duncan Rogers,,
116188,3/8 B Coned Plug ,In Stock ,£1.50 ,£7.50,,,,,Duncan Rogers,,
116189,1/2 BSP Coned Plug ,In Stock ,£1.60 ,£6.40,,,,,Duncan Rogers,,
,,,,,,,,,,,
,,,,,,,,,,,
,"1/4"" BSPP BANJO BOLT FOR 1/4"" HOSE THREAD SKU: BOLT04 Thread Size:  1/4"" BSPP BANJO BOLT FOR 1/4"" HOSE THREAD",8,,,,,,,Flowfit,,
,,,,,,,,,Flowfit,,
,"Hydraulic Light Weight Relief Valve, VMP 3/8"" L, 10-180 Bar, Handknob SKU: V0690/V180 Adjustment:  Handknob Max Flow:  40 L/min Max Pressure:  350 Bar Thread Size:  3/8"" BSP Type:  VMP 3/8"" L PORT BSP / Spring Range Bar:  3/8"" BSP / 10-180 BAR",,,,,,,,Flowfit,,
,,,,,,,,,,,
,"Oleorama Hydraulic Parallel Scheme Manifold, 6 Station, 1/2"" BSP inlet ports 3/8"" Service ports, Alu SKU: CMA0150-CB-06-OL Material:  Number of Stations:  Port Sizes:  1/2"" BSP inlet, 3/8"" Service ports",,,,,,,,Flowfit, https://www.flowfitonline.com/products/oleorama-hydraulic-parallel-scheme-manifold-6-station-1-2-bsp-inlet-ports-3-8-service-ports-alu,
,Flowfit cetop 3 NG6 steel cover plate SKU: D5-03-CP-G https://www.flowfitonline.com/products/flowfit-cetop-3-ng6-steel-cover-plate,,,,,,,,Flowfit,,
,"Grease Nipple to Suit Hydraulic Cylinder, M8x1,25 SKU: GREASE_NIPPLE https://www.flowfitonline.com/products/grease-nipple-to-suit-hydraulic-cylinder-m8x1-25",,,,,,,,Flowfit,,
,"Flowfit Hydraulic 3 port Adjustable flow control c/w Relief valve 1/2"" BSP ports SKU: ZZ005423  Max Flow:  Max Pressure:  Type:  3 PORT ADJUSTABLE FLOW CONTROL VALVE WITH RELIEF ½""",,,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-hydraulic-3-port-adjustable-flow-control-c-w-relief-valve-1-2-bsp-ports,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 1/2"" BSP Port Size, 12V DC, 80 L/Min Flows Product SKU: SDV3DC12NZ5LG12  1/2"" BSP Port Size 12V Solenoid DC 80 L/Min Max Pressure 210Bar Qty:2",,,,,,,,Flowfit,https://www.flowfitonline.com/products/flowfit-3-way-hydraulic-solenoid-diverter-1-2-bsp-port-size-12v-dc-80-l-min-flows,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Oleorama Hydraulic Parallel Scheme Manifold, 6 Station, 1/2"" BSP inlet ports 3/8"" Service ports, Alu",,,,,,,,,,
,SKU: CMA0150-CB-06-OL,,,,,,,,,,
,https://www.flowfitonline.com/products/oleorama-hydraulic-parallel-scheme-manifold-6-station-1-2-bsp-inlet-ports-3-8-service-ports-alu,,,,,,,,,,
,Material: ,Aluminium,,,,,,,,,
,Number of Stations: ,6 Stations,,,,,,,,,
,"Port Sizes: 	1/2"" BSP inlet, 3/8"" Service ports",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Flowfit cetop 3 NG6 steel cover plate,,,,,,,,,,
,SKU: D5-03-CP-G,,,,,,,,,,
,https://www.flowfitonline.com/products/flowfit-cetop-3-ng6-steel-cover-plate,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Grease Nipple to Suit Hydraulic Cylinder, M8x1,25",,,,,,,,,,
,SKU: GREASE_NIPPLE,,,,,,,,,,
,https://www.flowfitonline.com/products/grease-nipple-to-suit-hydraulic-cylinder-m8x1-25,,,,,,,,,,
,,,,,,,,,,,
,"Flowfit Hydraulic 3 port Adjustable flow control c/w Relief valve 1/2"" BSP ports",,,,,,,,,,
,SKU: ZZ005423,,,,,,,,,,
,https://www.flowfitonline.com/products/flowfit-hydraulic-3-port-adjustable-flow-control-c-w-relief-valve-1-2-bsp-ports,,,,,,,,,,
,Max Flow: ,114 L/min,,,,,,,,,
,Max Pressure: ,200 Bar,,,,,,,,,
,"Type: 	3 PORT ADJUSTABLE FLOW CONTROL VALVE WITH RELIEF 1/2""",,,,,,,,,,
,,,,,,,,,,,
,"Flowfit 3 Way Hydraulic Solenoid Diverter 1/2"" BSP Port Size, 12V DC, 80 L/Min Flows",,,,,,,,,,
,Product SKU: SDV3DC12NZ5LG12,,,,,,,,,,
,https://www.flowfitonline.com/products/flowfit-3-way-hydraulic-solenoid-diverter-1-2-bsp-port-size-12v-dc-80-l-min-flows,,,,,,,,,,
,"1/2"" BSP Port Size",,,,,,,,,,
,12V Solenoid DC,,,,,,,,,,
,80 L/Min,,,,,,,,,,
,Max Pressure 210Bar,,,,,,,,,,
,Qty:2,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,VC0800/120 80L/MIN CARTRIDGE RELIEF VALVE 1 69.06 EACH 57.50 29.35 1 VMPC80 10-120BAR M26X1.5 MD-03,1,,£29.35,,,,,Flowfit,,
,MD-03P-8-G-M26 CETOP 3 8 STATION STEEL MANIFO 1 351.16 EACH 57.50 149.24 1 '-LD M26X1.5 RV CAVITY,1,,£149.24,,,,,Flowfit,,
,,,,,,,,,,,
,"3/8"" BSPP BANJO BOLT FOR 3/8"" HOSE THREAD SKU: BOLT06",,,,,,,,Flowfit,,
,"Bonded Seals (Self Centre) 1/4"" BSP Pack of 10 SKU: BS1410",,,,,,,,Flowfit,,
,"Pressure Relief Valve, 0-50 Bar, 3/4-16 UNF SKU: TRV-08-5 0-50 Bar",,,,,,,,Flowfit,,
,,,,,,,,,,,
,M5 / 5mm CAP HEAD ALLEN BOLTS SOCKET ALLEN CAP SCREWS A2 STAINLESS STEEL DIN 912,20,,,,,,,EBAY,,
,,,,,,,,,,,
,"1x Solstice Twinwall Polycarbonate Sheet Clear 4mm – (""AA644"")",,,£13.48,,,,,tool station,,
